"";"individual";"family";"tribe";"genus";"subgenus";"species";"trait";"value"
"1";"A-0027";"Apidae";"Meliponini";"Partamona";NA;"Partamona nr peckolti";"intertegularDistance";1,581
"2";"A-0027";"Apidae";"Meliponini";"Partamona";NA;"Partamona nr peckolti";"proboscisLength";3,835
"3";"A-0029";"Apidae";"Meliponini";"Partamona";NA;"Partamona nr peckolti";"intertegularDistance";1,562
"4";"A-0029";"Apidae";"Meliponini";"Partamona";NA;"Partamona nr peckolti";"proboscisLength";3,15
"5";"A-0032";"Apidae";"Meliponini";"Partamona";NA;"Partamona nr peckolti";"intertegularDistance";1,561
"6";"A-0032";"Apidae";"Meliponini";"Partamona";NA;"Partamona nr peckolti";"proboscisLength";3,171
"7";"A-0033";"Apidae";"Meliponini";"Partamona";NA;"Partamona nr peckolti";"intertegularDistance";1,542
"8";"A-0033";"Apidae";"Meliponini";"Partamona";NA;"Partamona nr peckolti";"proboscisLength";3,709
"9";"A-0240";"Apidae";"Meliponini";"Dolichotrigona";NA;"Dolichotrigona schulthessi";"intertegularDistance";0,934
"10";"A-0240";"Apidae";"Meliponini";"Dolichotrigona";NA;"Dolichotrigona schulthessi";"proboscisLength";1,249
"11";"A-0241";"Apidae";"Meliponini";"Dolichotrigona";NA;"Dolichotrigona schulthessi";"intertegularDistance";0,954
"12";"A-0241";"Apidae";"Meliponini";"Dolichotrigona";NA;"Dolichotrigona schulthessi";"proboscisLength";1,244
"13";"A-0242";"Apidae";"Meliponini";"Dolichotrigona";NA;"Dolichotrigona schulthessi";"intertegularDistance";0,912
"14";"A-0242";"Apidae";"Meliponini";"Dolichotrigona";NA;"Dolichotrigona schulthessi";"proboscisLength";1,246
"15";"A-0243";"Apidae";"Meliponini";"Dolichotrigona";NA;"Dolichotrigona schulthessi";"intertegularDistance";0,941
"16";"A-0243";"Apidae";"Meliponini";"Dolichotrigona";NA;"Dolichotrigona schulthessi";"proboscisLength";1,193
"17";"A-0244";"Apidae";"Meliponini";"Dolichotrigona";NA;"Dolichotrigona schulthessi";"intertegularDistance";0,966
"18";"A-0244";"Apidae";"Meliponini";"Dolichotrigona";NA;"Dolichotrigona schulthessi";"proboscisLength";1,29
"19";"A-0245";"Apidae";"Meliponini";"Dolichotrigona";NA;"Dolichotrigona schulthessi";"intertegularDistance";0,916
"20";"A-0245";"Apidae";"Meliponini";"Dolichotrigona";NA;"Dolichotrigona schulthessi";"proboscisLength";1,212
"21";"A-0425";"Apidae";"Meliponini";"Partamona";NA;"Partamona aequatoriana";"intertegularDistance";1,612
"22";"A-0425";"Apidae";"Meliponini";"Partamona";NA;"Partamona aequatoriana";"proboscisLength";3,574
"23";"A-0426";"Apidae";"Meliponini";"Trigona";NA;"Trigona nigerrima";"intertegularDistance";1,709
"24";"A-0426";"Apidae";"Meliponini";"Trigona";NA;"Trigona nigerrima";"proboscisLength";2,357
"25";"A-0427";"Apidae";"Meliponini";"Trigona";NA;"Trigona nigerrima";"intertegularDistance";1,724
"26";"A-0427";"Apidae";"Meliponini";"Trigona";NA;"Trigona nigerrima";"proboscisLength";2,34
"27";"A-0428";"Apidae";"Meliponini";"Trigona";NA;"Trigona nigerrima";"intertegularDistance";1,794
